"DateTime","Actual System Demand"
"2025-11-20 00:00:00",4912
"2025-11-20 00:15:00",4872
"2025-11-20 00:30:00",4803
"2025-11-20 00:45:00",4733
"2025-11-20 01:00:00",4676
"2025-11-20 01:15:00",4705
"2025-11-20 01:30:00",4658
"2025-11-20 01:45:00",4599
"2025-11-20 02:00:00",4587
"2025-11-20 02:15:00",4685
"2025-11-20 02:30:00",4670
"2025-11-20 02:45:00",4612
"2025-11-20 03:00:00",4588
"2025-11-20 03:15:00",4582
"2025-11-20 03:30:00",4539
"2025-11-20 03:45:00",4534
"2025-11-20 04:00:00",4497
"2025-11-20 04:15:00",4484
"2025-11-20 04:30:00",4434
"2025-11-20 04:45:00",4424
"2025-11-20 05:00:00",4457
"2025-11-20 05:15:00",4489
"2025-11-20 05:30:00",4546
"2025-11-20 05:45:00",4623
"2025-11-20 06:00:00",4735
"2025-11-20 06:15:00",4968
"2025-11-20 06:30:00",5126
"2025-11-20 06:45:00",5333
"2025-11-20 07:00:00",5571
"2025-11-20 07:15:00",5920
"2025-11-20 07:30:00",6079
"2025-11-20 07:45:00",6272
"2025-11-20 08:00:00",6276
"2025-11-20 08:15:00",6326
"2025-11-20 08:30:00",6352
"2025-11-20 08:45:00",6386
"2025-11-20 09:00:00",6412
"2025-11-20 09:15:00",6455
"2025-11-20 09:30:00",6473
"2025-11-20 09:45:00",6426
"2025-11-20 10:00:00",6378
"2025-11-20 10:15:00",6314
"2025-11-20 10:30:00",6249
"2025-11-20 10:45:00",6237
"2025-11-20 11:00:00",6206
"2025-11-20 11:15:00",6194
"2025-11-20 11:30:00",6136
"2025-11-20 11:45:00",6067
"2025-11-20 12:00:00",6043
"2025-11-20 12:15:00",6017
"2025-11-20 12:30:00",5992
"2025-11-20 12:45:00",6031
"2025-11-20 13:00:00",6006
"2025-11-20 13:15:00",5989
"2025-11-20 13:30:00",5936
"2025-11-20 13:45:00",5942
"2025-11-20 14:00:00",5936
"2025-11-20 14:15:00",5966
"2025-11-20 14:30:00",5967
"2025-11-20 14:45:00",6015
"2025-11-20 15:00:00",6088
"2025-11-20 15:15:00",6197
"2025-11-20 15:30:00",6242
"2025-11-20 15:45:00",6337
"2025-11-20 16:00:00",6420
"2025-11-20 16:15:00",6501
"2025-11-20 16:30:00",6637
"2025-11-20 16:45:00",6818
"2025-11-20 17:00:00",6935
"2025-11-20 17:15:00",7030
"2025-11-20 17:30:00",7078
"2025-11-20 17:45:00",7080
"2025-11-20 18:00:00",7007
"2025-11-20 18:15:00",6963
"2025-11-20 18:30:00",6921
"2025-11-20 18:45:00",6864
"2025-11-20 19:00:00",6800
"2025-11-20 19:15:00",6755
"2025-11-20 19:30:00",6731
"2025-11-20 19:45:00",6656
"2025-11-20 20:00:00",6593
"2025-11-20 20:15:00",6522
"2025-11-20 20:30:00",6463
"2025-11-20 20:45:00",6357
"2025-11-20 21:00:00",6344
"2025-11-20 21:15:00",6216
"2025-11-20 21:30:00",6088
"2025-11-20 21:45:00",5978
"2025-11-20 22:00:00",5852
"2025-11-20 22:15:00",5723
"2025-11-20 22:30:00",5616
"2025-11-20 22:45:00",5480
"2025-11-20 23:00:00",5347
"2025-11-20 23:15:00",5406
"2025-11-20 23:30:00",5307
"2025-11-20 23:45:00",5198